Team,Player,Mouse,Hz,DPI,Multiplier,Horz Sens,Vert Sens,Win Sens,ADS,1x,2.5x,3.5x,5x,12x,FOV,Monitor,Resolution,Aspect Ratio,Mousepad,Keyboard
FaZe Clan,Cyber,Lamzu Thorn Black,1000,800,,10,10,6,55,55,55,55,55,55,90,LG 27GK750F-B,1920x1080,16:10,Gamesense Radar,Logitech G Pro Keyboard
FaZe Clan,soulz1,Logitech G Pro X Superlight Magenta,1000,400,,8,8,6,35,35,52,54,55,55,75,ZOWIE XL2546,1920x1080,16:10,,HyperX Alloy FPS Pro
FaZe Clan,VITAKING,Pulsar X2 V2,1000,400,,8,8,6,31,31,31,31,31,31,90,,1920x1080,16:9,Lethal Gaming Gear Saturn Pro,
G2 Esports,Benjamaster,VAXEE OUTSET AX,1000,800,,6,6,6,58,58,102,103,105,161,90,ZOWIE XL2546K,1920x1080,3:2,ZOWIE G-SR-SE Deep Blue,
G2 Esports,UUNO,Logitech G Pro X Superlight Black,500,400,0.02,11,11,6,42,42,74,74,76,116,90,AOC AG251FZ,1920x1080,16:10,Logitech G840,Logitech G Pro X Keyboard
G2 Esports,Alem4o,Logitech G Pro X Superlight White,1000,400,0.02,12,12,6,31,31,52,54,55,84,90,AOC AG251FZ,1920x1080,3:2,Logitech G640 Original,Logitech G Pro Keyboard
G2 Esports,Doki,Logitech G Pro X Superlight White,1000,400,0.02,12,12,6,24,24,42,42,43,65,84,ZOWIE XL2546,1920x1080,4:3,Logitech G640 Original,Logitech G513
G2 Esports,Virtue,VAXEE XE Wireless Blue,1000,400,,12,12,6,58,58,97,98,99,152,80,AOC AG251FZ,1920x1080,16:9,Logitech G640 Original,Logitech G Pro X Keyboard
Virtus.pro,Rask,Logitech G403 HERO,1000,800,0.02,16,16,6,37,37,64,65,66,101,90,ZOWIE XL2546,1920x1080,4:3,SteelSeries QcK+,Corsair K65 Rapidfire
Virtus.pro,ShepparD,Razer Viper Ultimate,1000,800,0.02,9,9,6,30,30,51,52,52,80,82,ZOWIE XL2546,1920x1080,16:10,VAXEE PA OUTSET,HyperX Alloy FPS Pro
Virtus.pro,Always,G-Wolves Hati S+ 4K,1000,400,,10,10,6,28,28,48,48,50,77,90,GIGABYTE AORUS KD25F,1920x1080,16:10,VAXEE PA ZYGEN,Xtrfy K4 RGB
Virtus.pro,dan,WLMouse BEAST X Silver,1000,1600,0.02,5,5,6,32,32,55,56,57,87,90,ZOWIE XL2540,1920x1080,4:3,VAXEE PA ZYGEN,Varmilo VA87M Sea Melody
Virtus.pro,P4sh4,Logitech G Pro X Superlight White,1000,800,0.02,6,6,6,58,58,102,103,105,161,90,ZOWIE XL2546,1920x1080,4:3,VAXEE PA ZYGEN,Corsair K63
Team Liquid,Paluh,Logitech G Pro X Superlight 2 White,1000,400,0.02,10,10,6,28,28,49,49,50,77,88,Alienware AW2518H,1920x1080,4:3,SteelSeries QcK+,Ducky One 2 Mini
Team Liquid,Lagonis,ZOWIE EC2-CW,1000,400,0.02,9,9,6,24,24,60,60,60,60,84,ZOWIE XL2546,1920x1080,4:3,Logitech G640 Original,Anne Pro 2
Team Liquid,Nesk,Logitech G Pro X Superlight 2 Black,1000,800,0.02,5,5,6,30,30,52,52,53,65,84,Alienware AW2518H,1920x1080,4:3,Logitech G740,HyperX Alloy Origins
Team Liquid,volpz,Logitech G Pro X Superlight 2 White,4000,400,,10,10,6,28,28,47,52,54,84,,,2560x1440,16:9,Logitech G640 Original,Razer Huntsman Mini Mercury
Fnatic,Mag,Fnatic Bolt,1000,800,0.02,5,5,6,59,59,98,100,101,157,90,ZOWIE XL2540,1920x1080,4:3,Fnatic DASH,Fnatic STREAK65
Fnatic,LeonGids,Logitech G Pro X Superlight Black,1000,800,0.02,7,7,6,32,32,55,56,57,87,90,Acer Predator X25,1920x1080,16:9,VAXEE PA ZYGEN,Custom Keyboard
Ninjas in Pyjamas,pino,VAXEE ZYGEN NP-01,1000,800,,6,6,6,31,31,53,54,54,83,82,ASUS ROG XG258Q,1920x1080,4:3,VAXEE PA OUTSET,Xtrfy K2 RGB
Ninjas in Pyjamas,Psycho,Razer Viper V2 Pro White,1000,400,0.02,8,8,6,58,58,99,100,101,155,84,ASUS ROG XG258Q,1920x1080,4:3,VAXEE PA OUTSET,Xtrfy K2 RGB
Ninjas in Pyjamas,Muzi,Razer Viper Mini Signature Edition,1000,400,0.02,7,7,6,58,58,75,75,75,75,84,ZOWIE XL2540,1920x1080,4:3,Razer Gigantus V2,Corsair K70 RGB
Parabellum Esports,Skys,ZOWIE EC2 Tyloo,1000,800,0.02,6,6,6,44,44,77,78,79,122,90,ZOWIE XL2546,1920x1080,16:10,Artisan Ninja FX Zero Soft,Corsair K65 Rapidfire
Mirage,Rampy,Logitech G Pro X Superlight White,1000,800,0.02,4,4,4,27,27,47,47,48,73,90,ZOWIE XL2540,1920x1080,16:10,ZOWIE G-SR-SE Blue,Corsair K65 Rapidfire
Mirage,VertcL,ZOWIE EC2-B,1000,400,0.02,13,13,6,42,42,74,74,76,116,90,ASUS VG248QE,1920x1080,16:10,SteelSeries QcK XXL,Corsair K70 RGB
LOS + oNe,cameram4n,Razer Deathadder V3 Pro White,1000,600,0.02,8,8,6,35,35,61,62,63,67,90,ZOWIE XL2546,1920x1080,16:9,Fallen Gear Legends,SteelSeries Apex M750
Wolves Esports,BiBooAF,Razer Deathadder V3 Pro Black,1000,800,,7,7,6,28,28,49,50,50,77,90,ZOWIE XL2546,1920x1080,4:3,Corsair MM350 Champion Series,Razer Huntsman V2 TKL
Wolves Esports,Shiinka,Logitech G Pro Wireless,1000,800,0.02,4,4,6,32,32,55,55,56,86,84,ZOWIE XL2546,1920x1080,4:3,Logitech G640 Original,Varmilo VA87M Beijing Opera
Wolves Esports,P4,VAXEE NP-01S Pink,1000,400,0.02,11,11,6,25,25,43,43,44,67,84,ZOWIE XL2540,1920x1080,4:3,VAXEE PA P22,Varmilo VA87M Summit
Wolves Esports,DEADSHOT,Razer Deathadder V3 Pro White,,,,,,,,,,,,,,,2560x1440,16:9,ZOWIE G-SR-SE Rouge,Logitech G915 TKL Carbon
w7m esports,Jv92,Logitech G Pro X Superlight 2 Black,,,,,,,,,,,,,,,2560x1440,16:9,VAXEE PA Summer23,Wooting 60 HE
w7m esports,Kheyze,Logitech G Pro X Superlight 2 Black,4000,400,,11,11,6,29,29,49,49,50,50,84,,2560x1440,16:9,Logitech G640 Original,Wooting 60 HE
w7m esports,Herdsz,Logitech G Pro X Superlight 2 Magenta,4000,400,,12,12,6,24,24,,,,,,,2560x1440,16:9,Logitech G640 Black,Razer Huntsman Mini Mercury
CYCLOPS athlete gaming,Anitun,Razer Deathadder V3 Pro Black,4000,800,,7,7,6,36,36,50,50,52,62,,,2560x1440,16:9,,Razer Huntsman Mini
CYCLOPS athlete gaming,BlackRay,Razer Deathadder V3 Pro White,4000,400,,9,9,6,38,38,73,80,85,100,90,,1920x1080,4:3,,Razer Huntsman Mini Mercury
Oxygen Esports,FoxA,Logitech G Pro Wireless,1000,800,0.02,6,6,6,30,30,45,46,47,47,90,ZOWIE XL2546,1920x1080,3:2,HyperX Fury S Pro,Corsair K65 Rapidfire
Oxygen Esports,Yoggah,Razer Viper V2 Pro White,1000,400,0.0166,8,8,6,45,45,69,70,50,50,90,ASUS VG248QE,1920x1080,16:9,,
Wildcard Gaming,Merc,Logitech G Pro X Superlight Black,1000,400,0.00223,80,80,6,53,53,103,129,,,90,ZOWIE XL2540,1920x1080,4:3,Logitech G640 TSM Edition,Logitech G Pro Keyboard
M80,Kyno,FinalMouse Starlight-12,1000,400,,8,8,6,35,35,60,61,62,93,87,ZOWIE XL2546,1920x1080,4:3,ZOWIE G-SR-SE Blue,Vortex Pok3r RGB
M80,GMZ,ZOWIE EC2-C,1000,400,0.0022,90,90,6,32,32,,,,,,ZOWIE XL2546K,1920x1080,16:9,Artisan Ninja FX Zero Soft,
M80,CTZN,Logitech G Pro X Superlight Black,1000,400,0.02,12,12,6,24,24,24,24,24,24,84,ZOWIE XL2546 Divina Blue,1920x1080,4:3,VAXEE PA Winter22,Logitech G Pro X Keyboard
M80,Spoit,ZOWIE ZA13-C,1000,1600,0.001,65,65,6,45,45,79,75,74,98,87,ZOWIE XL2566K,1920x1080,3:2,Artisan Ninja FX Zero Mid Orange,Wooting 60 HE
WYLDE,T3b,Logitech G Pro X Superlight Black,1000,400,,10,10,6,35,35,61,62,70,97,90,Acer Nitro XV252QF,1920x1080,4:3,Logitech G640 Original,Corsair K65 Rapidfire
WYLDE,korey,VAXEE ZYGEN NP-01S,1000,400,0.02,8,8,6,59,59,100,101,103,122,86,Alienware AW2521H,1920x1080,4:3,Artisan Raiden FX Mid,Anne Pro 2
WYLDE,Hungry,Logitech G703,500,400,0.02,9,9,6,31,31,53,54,55,84,83,ZOWIE XL2540,1920x1080,4:3,SteelSeries QcK Heavy,Logitech G Pro X Keyboard
MNM Gaming,neLo,Razer Viper V2 Pro Black,4000,400,0.02,10,10,6,63,63,63,63,63,63,90,ASUS ROG SWIFT PG259QN,1920x1080,4:3,Artisan Ninja FX Zero Soft,Razer Huntsman V2 TKL
MNM Gaming,Tyrant,Razer Viper V2 Pro Black,4000,400,0.02,7,7,6,36,36,,,,,90,ZOWIE XL2546K,1920x1080,4:3,ZOWIE G-SR,Logitech G915 TKL Carbon
Team BDS,BriD,Razer Deathadder V3 Pro Black,1000,400,0.02,6,6,6,58,58,87,89,105,161,90,ZOWIE XL2546,1920x1080,4:3,VAXEE PA Winter 21,Logitech G Pro X Keyboard
Team BDS,Solotov,Logitech G Pro X Superlight Black,1000,400,0.02,12,12,6,28,28,28,28,28,28,84,ASUS ROG SWIFT PG259QN,1920x1080,4:3,VAXEE PA FunSpark,Logitech G Pro X Keyboard
Team BDS,Yuzus,Razer Deathadder V3 Pro Black,1000,400,0.02,12,12,6,28,28,,,,,84,ZOWIE XL2540K,1920x1080,4:3,VAXEE PA FunSpark,Corsair K70 Pro Mini Wireless
Team BDS,Shaiiko,Logitech G Pro X Superlight White,1000,400,0.02,12,12,6,32,32,32,32,32,32,84,Acer Predator X25,1920x1080,4:3,Logitech G740,Wooting 60 HE
Soniqs,supr,Finalmouse Starlight-12 Hades,1000,400,0.00223,8,10,6,39,39,66,67,70,75,90,ZOWIE XL2546,1920x1080,3:2,Artisan Ninja FX Zero Soft,Logitech G Pro X Keyboard
Soniqs,Gryxr,Logitech G Pro X Superlight Black,1000,400,0.00223,57,57,6,32,32,,,,,93,,1920x1080,16:9,Lethal Gaming Gear Saturn Pro,Logitech G915 TKL Carbon
Soniqs,Geometrics,Logitech G203,1000,800,0.002,6,6,6,47,47,79,80,81,124,90,ZOWIE XL2546,1920x1080,4:3,Logitech G640 Original,Logitech G Pro X Keyboard
Soniqs,Rexen,Logitech G Pro X Superlight White,1000,800,0.02,6,6,6,32,32,55,56,57,87,90,ZOWIE XL2566K,1920x1080,4:3,Lethal Gaming Gear Saturn Pro Red,
Keyd Stars,Hornetao,FinalMouse Air58 Ninja CBR,1000,400,0.02,9,9,6,35,35,61,62,63,97,90,ZOWIE XL2540,1920x1080,4:3,ZOWIE G-SR-SE Divina Pink,Corsair K65 Rapidfire
Into The Breach,Kendrew,Logitech G703,1000,400,0.02,9,9,6,51,51,51,51,51,51,84,ASUS VG248QE,1920x1080,4:3,,
Into The Breach,Deapek,Logitech G Pro Wireless,1000,800,0.02,5,5,6,58,58,98,99,101,154,90,ZOWIE XL2546,1920x1080,4:3,,
Into The Breach,Cryn,Razer Deathadder V3 Pro Black,1000,400,0.02,10,10,6,37,37,,,,,87,AOC AG251FZ,1920x1080,4:3,,HyperX Alloy FPS RGB
Into The Breach,Kantoraketti,Logitech G Pro X Superlight Black,1000,800,0.02,5,5,6,32,32,55,56,57,87,90,AOC AG251FZ,1920x1080,4:3,Logitech G640 Original,Logitech G915 TKL Carbon
ORDER,JackDaddy,Logitech G Pro X Superlight Black,1000,800,0.02,4,4,6,56,56,56,56,56,56,90,Alienware AW2521HF,1920x1080,4:3,Logitech G640 Original,Logitech G Pro X Keyboard
Spacestation Gaming,Fultz,Logitech G Pro X Superlight Black,1000,400,0.02,9,9,6,59,59,102,103,,,90,,1920x1080,4:3,,Ducky One 2 Mini
Spacestation Gaming,Hotancold,Logitech G Pro X Superlight 2 White,1000,800,0.02,6,6,6,30,30,55,56,57,87,90,ZOWIE XL2740,1920x1080,16:10,Corsair MM300,Ducky One 2 TKL
Heroic,Kayak,Logitech G Pro X Superlight White,1000,400,,7,7,6,44,44,75,76,77,118,84,AOC AG251FZ,1920x1080,16:10,Logitech G640 Original,Logitech G Pro X Keyboard
Heroic,ASTRO,SteelSeries Aerox 3 Wireless Black,1000,400,0.02,8,8,6,35,35,59,60,61,93,84,ZOWIE XL2546,1920x1080,16:9,SteelSeries QcK+,SteelSeries Apex M750
Heroic,SHA77E,Logitech G Pro X Superlight Black,1000,800,0.00223,12,12,6,20,20,31,32,46,47,84,ZOWIE XL2546 Divina Blue,1920x1080,3:2,ZOWIE G-SR-SE Blue,Logitech G915
DarkZero Esports,Canadian,Logitech G703,1000,800,0.02,4,4,6,25,25,43,43,44,68,90,ZOWIE XL2546,1920x1080,3:2,SteelSeries QcK Heavy,Custom Keyboard
DarkZero Esports,NJR,FinalMouse Starlight-12,1000,400,0.02,12,12,6,25,25,43,43,44,68,90,,1920x1080,4:3,,
DarkZero Esports,Beaulo,Lamzu Atlantis 4K,2000,800,0.002,45,45,6,58,58,117,119,125,158,90,ASUS ROG SWIFT XG27AQM,2560x1440,4:3,Logitech G640 Original,Wooting 60 HE
Bleed eSports,MentalistC,ZOWIE S2 Divina Pink,1000,400,0.00223,91,91,6,58,58,102,103,105,161,90,AOC G2460PF,1920x1080,16:10,SteelSeries QcK+,Corsair K70 RGB
00Nation,Smexycakes,Glorious Model O White,1000,800,0.02,16,16,6,39,39,67,68,69,106,90,Alienware AW2518H,1920x1080,16:9,SteelSeries QcK+,Corsair K70 RGB
Free Agent,Neonical,Logitech G Pro X Superlight Black,1000,400,0.02,12,12,6,35,35,65,,,,,ZOWIE XL2540K,2560x1440,16:9,VAXEE PA Black,Ducky One 2 SF
Free Agent,Bullet1,Razer DeathAdder V2,1000,400,0.02,12,12,6,42,42,74,74,76,116,91,ZOWIE XL2546,1920x1080,4:3,VAXEE PA FunSpark V2,Corsair STRAFE
Free Agent,risze,Razer Deathadder V3 Pro Black,1000,800,,4,4,3,35,35,61,62,63,97,90,ZOWIE XL2546,1920x1080,4:3,Corsair MM350 Champion Series,Corsair K70 RGB MK.2
Free Agent,Prano,Logitech G Pro X Superlight White,1000,400,0.02,7,7,6,50,50,50,50,50,50,90,ZOWIE XL2546,1920x1080,16:10,Corsair MM500,Logitech G Pro Keyboard
Free Agent,Scyther,Logitech G Pro X Superlight Black,500,400,0.02,12,12,6,58,58,102,103,105,161,75,ZOWIE XL2546,1920x1080,4:3,Logitech G640 Original,Logitech G915 TKL Carbon
