Team,Player,Mouse,Hz,DPI,Sens,eDPI,Scoped Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
FaZe Clan,Shanks,ASUS ROG Harpe Ace,1000,400,0.4,160,1,ZOWIE XL2546,1920x1080,ZOWIE G-SR-SE Rouge,ASUS ROG Falchion RX Low Profile,HyperX Cloud II
MOUZ,iluri,Razer Deathadder V3 Pro Black,4000,800,0.32,256,1,ZOWIE XL2546K,1280x960,Razer Gigantus V2,Razer Huntsman Mini,Razer BlackShark V2 Pro Black
MOUZ,Obnoks,Razer Deathadder V3 Pro Black,1000,400,0.333,131.2,1,AOC AG254FG,1920x1080,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro Black
G2 Esports,trent,Lamzu Atlantis Mini Pro,1000,1600,0.125,200,1.009,ZOWIE XL2546,1280x960,ZOWIE G-SR-SE Gris,Wooting 60 HE,HyperX Cloud II
G2 Esports,valyn,Logitech G Pro X Superlight Black,1000,1600,0.15,240,1,ZOWIE XL2566K,1920x1080,Logitech G640 Black,Wooting 60 HE,Logitech G Pro X Headset
G2 Esports,JonahP,Logitech G Pro X Superlight 2 Black,1000,400,0.5,200,1,ZOWIE XL2546,1920x1080,Gamesense Radar,Logitech G Pro Keyboard,Sennheiser GAME ZERO
G2 Esports,leaf,Finalmouse Ultralight X Medium,2000,1600,0.08,128.00,1,ZOWIE XL2566K,1280x1024,ZOWIE G-SR-SE Gris,Wooting 60 HE,HyperX Cloud II
G2 Esports,icy,ZOWIE EC2-CW,1000,1600,0.17,272,0.95,ZOWIE XL2566K,1920x1080,ZOWIE G-SR-SE Gris,SteelSeries Apex Pro TKL (2023),Logitech G Pro X Headset
G2 Esports,ShahZaM,Lamzu Thorn White,1000,800,0.265,212,1,ZOWIE XL2546,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud II
Team Vitality,ceNder,Razer Deathadder V3 Pro White,1000,400,0.35,140,1,AlienWare AW2518HF,1920x1080,ZOWIE G-SR-SE Rouge,Ducky One 2 Mini,HyperX Cloud Alpha S
Team Vitality,Destrian,Razer Viper V2 Pro White,,,,,,,,VAXEE PA FunSpark V2,,
Team Vitality,Sayf,Logitech G Pro X Superlight Red,1000,800,0.25,200,1.3,ASUS ROG SWIFT PG259QN,1280x1024,Artisan FX Hien XSoft,Wooting 60 HE,HyperX Cloud II
Team Vitality,trexx,Logitech G Pro X Superlight Magenta,1000,800,0.226,180.8,1,ZOWIE XL2546K,1920x1080,VAXEE PA ZYGEN,Anne Pro 2,HyperX Cloud Alpha S
Team Vitality,runneR,Razer Viper V3 Pro Black,1000,400,0.44,176,,,1280x960,Xtrfy GP5 Vitality 10th Anniversary,Xtrfy K5 Compact RGB Black,JBL Quantum One
Team Vitality,Kicks,Razer Viper V3 Pro Black,1000,800,0.27,216,,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,Logitech G Pro X Headset
Natus Vincere,ANGE1,Razer Deathadder V3 Pro White,1000,800,0.5,400,1,ZOWIE XL2546,1280x960,Logitech G640 NAVI,Logitech G715,HyperX Cloud Revolver
Natus Vincere,ardiis,Logitech G Pro X Superlight White,1000,800,0.27,216,1,AOC AG251FZ2E,1920x1080,Artisan Ninja FX Zero Soft,Logitech G Pro X Keyboard,Logitech G Pro X Headset
Natus Vincere,Zyppan,Razer Deathadder V3 Pro Black,1000,800,0.24,192,1,,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,
Natus Vincere,Crazyface,ASUS ROG Harpe Ace,1000,800,0.4,320.00,1,ZOWIE XL2566K,1920x1080,ASUS ROG Hone Ace Aim Lab,ASUS ROG Falchion Ace,ASUS ROG Fusion II 500
Natus Vincere,Suygetsu,Logitech G Pro X Superlight 2 White,1000,800,0.25,200,1,ZOWIE XL2546,1920x1080,Zowie G-SR II,Logitech G Pro X 60,Logitech G Pro X Headset
Natus Vincere,Shao,Razer Deathadder V3 Pro Black,1000,800,0.35,280,1,ZOWIE XL2546,1920x1080,Logitech G740,Logitech G Pro X 60,HyperX Cloud II
Cloud9,Xeppaa,ZOWIE EC2-CW,1000,1600,0.14,224,1,ZOWIE XL2566K,1280x960,ZOWIE G-SR-SE Gris,HyperX Alloy Origins Core,HyperX Cloud II
Cloud9,jakee,Logitech G Pro X Superlight Black,1000,800,0.217,173.6,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud II Pink
Cloud9,runi,Logitech G Pro X Superlight Black,1000,800,0.3,240,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,,HyperX Cloud II
Cloud9,wippie,ZOWIE EC1-CW,1000,800,0.861,688.80,0.948,ZOWIE XL2566K,1024x768,Logitech G640 NAVI,Logitech G915,Logitech G Pro X Wireless Headset
Cloud9,Moose,Razer Deathadder V3 Pro White,1000,800,0.33,264,1,ZOWIE XL2546,1280x960,SteelSeries QcK Heavy,Logitech G915 TKL Carbon,HyperX Cloud II Wireless
Cloud9,OXY,Logitech G Pro X Superlight Black,1000,800,0.23,184,1,,1600x1024,ZOWIE G-SR-SE Gris,Wooting 60 HE,Sennheiser HD 599
Cloud9,vanity,VAXEE NP-01S Yellow,1000,1600,0.141,225.6,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero XSoft Orange,Wooting 60 HE,HyperX Cloud II
Team Liquid,frttt,ZOWIE EC2,1000,1600,0.755,1208,1,ZOWIE XL2546K,1920x1080,HyperX Fury S Pro,HyperX Alloy FPS,HyperX Cloud II
Team Liquid,Mendo,Logitech G Pro X Superlight White,1000,450,0.55,247.5,1,Alienware AW2521H,1440x1080,Artisan Ninja FX Zero Soft,Custom Keyboard,beyerdynamic DT 1990 PRO
Team Liquid,Mistic,Logitech G Pro X Superlight Magenta,1000,800,0.24,192,1,ZOWIE XL2546K,1280x960,VAXEE PA FunSpark,Wooting 60 HE,HyperX Cloud II
Team Liquid,bizerra,Logitech G Pro X Superlight Black,1000,800,0.26,208,,Alienware AW2521HF,1920x1080,Artisan Ninja FX Zero Soft,Logitech G Pro X Keyboard,HyperX Cloud Orbit S
Team Liquid,joojina,VAXEE XE Wireless Orange,1000,800,0.4,320,,ASUS TUF VG279QM,1920x1080,VAXEE PA FunSpark,Alienware AW420K,Logitech G733
Team Liquid,bstrdd,Logitech G Pro X Superlight 2 Black,2000,800,0.29,232,,Alienware AW2521HF,1920x1080,Artisan Ninja FX Zero XSoft,Wooting 60 HE,HyperX Cloud III
Team Liquid,Keiko,Lamzu Thorn Black,1000,800,0.25,200,1,ZOWIE XL2546K,1280x960,Artisan FX Hien Mid,Wooting 60 HE,
Team Liquid,Jamppi,ZOWIE EC1-CW,1000,800,0.317,253.56,1.009,Alienware AW2523HF,1440x1080,VAXEE PB,Alienware AW420K,HyperX Cloud II
Team Liquid,Enzo,Lamzu Atlantis,1000,800,0.314,251.2,1,ZOWIE XL2546,1440x1080,VAXEE PB,Razer Huntsman V2,HyperX Cloud III
Team Liquid,nAts,ZOWIE U2,1000,800,0.49,392,1,ZOWIE XL2546K,1280x960,ZOWIE G-SR,Alienware Pro Wireless Keyboard,HyperX Cloud III
Fnatic,Leo,Razer Deathadder V3 Pro White,1000,400,0.41,164,1,ZOWIE XL2566K,1280x1024,Artisan Ninja FX Zero Mid Orange,Wooting 60 HE,
Fnatic,Alfajer,Razer Deathadder V3 Pro White,1000,400,0.45,180,1,ZOWIE XL2566K,1920x1080,Artisan Hayate Otsu XSoft,Wooting 60 HE,HyperX Cloud II
Fnatic,Boaster,ZOWIE EC2-CW,1000,400,0.49,196,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Fnatic STREAK80 LP,Logitech G Pro X Headset
Fnatic,Chronicle,Razer Viper V3 Pro White,4000,1600,0.125,200,0.95,ASUS ROG PG27AQDM,2560x1440,La Onda BLITZ,Wooting 60 HE,beyerdynamic MMX 300
Fnatic,Derke,Razer Viper V3 Pro Black,2000,800,0.37,296,1.00,ASUS ROG PG27AQDM,2560x1440,Logitech G640 Original,Wooting 60 HE,HyperX Cloud II Gun Metal
FURIA,Khalil,Logitech G Pro X Superlight Black,1000,1600,0.21,336,1,ZOWIE XL2546,1920x1080,ZOWIE G-SR-SE Gris,SteelSeries Apex Pro TKL (2023),HyperX Cloud II
FURIA,kon4n,Logitech G Pro X Superlight Black,1000,800,0.44,352,,,,Artisan Ninja FX Zero Soft,,
FURIA,havoc,Logitech G Pro X Superlight Black,1000,800,0.37,296,,AOC AG251FZ,1920x1080,Artisan Ninja FX Zero Mid,SteelSeries Apex Pro TKL (2023),HyperX Cloud II
FURIA,liazzi,Logitech G Pro X Superlight Black,1000,800,0.6,480,,AOC AG251FZ,1280x960,SteelSeries QcK Heavy,Wooting 60 HE,Logitech G Pro X Wireless Headset
FURIA,mwzera,Logitech G Pro X Superlight 2 Red,2000,800,0.4,320,0.89,ZOWIE XL2546K,1280x1024,SteelSeries QcK Heavy,Wooting 60 HE,HyperX Cloud II
FURIA,nzr,VAXEE OUTSET AX Wireless Blue,1000,800,0.45,360,1,AOC G2460PF,1920x1080,VAXEE PA PRIZM,HyperX Alloy Origins,HyperX Cloud II
Apeks,MOLSI,Logitech G Pro X Superlight Red,1000,1600,0.15,240,1,ZOWIE XL2566K,1280x960,Artisan Ninja FX Zero XSoft,Wooting 60 HE,HyperX Cloud II Wireless
Apeks,AvovA,Logitech G Pro X Superlight Black,1000,800,0.333,251.2,1.0,ZOWIE XL2546,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Wireless Headset
Apeks,hype,Lamzu Atlantis Mini Pro,1000,800,0.35,280,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero XSoft,Wooting 60 HE,Razer BlackShark V2 Pro Black
Apeks,soulcas,G-Wolves Hati S+ 4K,4000,400,0.494,197.6,0.88,Alienware AW2521H,2560x1440,Endgame Gear EM-C Plus,Wooting 60 HE,HyperX Cloud II
MIBR,tteuw,Logitech G402,1000,2000,0.375,750,1,ZOWIE XL2546,1920x1080,SteelSeries QcK Heavy,,Logitech G Pro X Headset
MIBR,artzin,VAXEE XE Yellow,1000,1600,0.3,480,,ZOWIE XL2566K,1920x1080,ZOWIE G-SR-SE Gris,SteelSeries Apex Pro TKL (2023),HyperX Cloud II
MIBR,frz,Razer Viper V3 Pro Black,1000,800,0.32,256,1,ZOWIE XL2546,1920x1080,VAXEE PA Black,Logitech G915 TKL Carbon,HyperX Cloud II
MIBR,mazin,Razer Viper Mini Signature Edition,1000,800,0.35,280,1,ZOWIE XL2546,1920x1080,SteelSeries QcK Heavy,HyperX Alloy Origins,HyperX Cloud II
MIBR,RgLM,Razer Viper V3 Pro Black,,800,0.4,320,,,,ZOWIE G-SR-SE Gris,Razer Huntsman V3 Pro TKL,HyperX Cloud II
MIBR,jzz,Razer Viper V3 Pro Black,1000,800,0.3,240,1,,1920x1080,VAXEE PA FunSpark V2,Logitech G Pro X Keyboard,HyperX Cloud II Gun Metal
Bilibili Gaming,Knight,Logitech G Pro X Superlight Black,1000,400,0.691,276.4,1,ZOWIE XL2566K,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,HyperX Cloud II
Bilibili Gaming,yosemite,Xtrfy M8 Frosty Mint,1000,800,0.3,240,,ZOWIE XL2566K,1280x960,Artisan Ninja FX Zero XSoft Orange,Wooting 60 HE,
Bilibili Gaming,biank,VAXEE XE Wireless White,,800,0.314,251.2,,ZOWIE XL2566K,1440x1080,ZOWIE G-SR-SE Rouge,Wooting 60 HE,
Bilibili Gaming,whzy,Logitech G Pro X Superlight Black,1000,1600,0.13,208.00,1,ZOWIE XL2566K,1600x1024,VAXEE PA Y22,Wooting 60 HE,
All Knights,adverso,Logitech G Pro X Superlight White,1000,400,0.5,200,1,,1920x1080,X-raypad Aqua Control+,Varmilo VA87M Summit,HyperX Cloud II Wireless
3DMAX,Davidp,Logitech G Pro X Superlight Black,1000,400,0.68,272,1,ZOWIE XL2546,1920x1080,SteelSeries QcK Heavy,Xtrfy K4 RGB,HyperX Cloud II
S2G,russ,ZOWIE EC2-CW,1000,800,0.45,360,1,ASUS TUF VG259QM,1920x1080,SteelSeries QcK Heavy,,Logitech G Pro X Headset
S2G,AsLanM4shadoW,Logitech G Pro X Superlight Red,1000,400,0.45,180,0.9,ZOWIE XL2546,1920x1080,SteelSeries QcK Large,Razer BlackWidow X Chroma Mercury,HyperX Cloud II
S2G,aimdll,Razer Deathadder V3 Pro Black,1000,800,0.27,216,1,ZOWIE XL2546K,1280x960,ZOWIE G-SR,Razer BlackWidow Elite,HyperX Cloud II
Ovation Esports,Luzuh,Razer Deathadder V3 Pro Black,1000,400,0.541,216,1,ZOWIE XL2540,1280x960,Razer Gigantus V2,Razer Huntsman V3 Pro,Razer BlackShark V2
Rex Regum Qeon,fl1pzjder,Finalmouse Ultralight X Medium,1000,400,0.534,213.6,0.7,,1920x1080,VAXEE PA FunSpark V2,,
TBK Esports,DeNaro,Razer Viper Ultimate,1000,400,0.520,208,1,Acer Predator XB252Q,1920x1080,Razer Gigantus,HyperX Alloy FPS,
Team SMG,enerii,Logitech G Pro X Superlight Magenta,1000,1600,0.17,272.00,,ZOWIE XL2546K,1440x1080,Artisan Ninja FX Zero Soft,Custom Keyboard,HyperX Cloud II
